bond(Z, rosie)	bond(X, rosie)	bond(L, durin)
bond(Z, rosie)	bond(L, rosie)	bond(Z, porto)
bond(Z, rosie)	bond(R2, rosie)	bond(Z, isildur)
bond(Z, rosie)	bond(merry, I)	bond(X, boromir)
bond(Z, rosie)	bond(Z, R)	bond(R2, bree)
bond(Z, rosie)	bond(Z, R2)	bond(Z, elf)
bond(Z, rosie)	bond(_EX1, rosie)	bond(I, neutral)
bond(Z, rosie)	bond(bofur, rosie)	bond(Z, haldir)
bond(Z, rosie)	bond(_EX0, rosie)	bond(R1, esmeralda)
bond(Z, rosie)	bond(R2, rosie)	bond(Z, nori)
bond(Z, rosie)	bond(duinhir, rosie)	bond(R, dudo)
bond(Z, rosie)	bond(Z, R1)	bond(Z, shire)
bond(Z, rosie)	bond(Z, R1)	bond(_EX0, quickbeam)
bond(Z, rosie)	bond(haldir, X)	bond(_EX0, largo)
bond(Z, rosie)	bond(Z, R)	bond(_EX1, rose)
bond(Z, rosie)	bond(L, rosie)	bond(Z, hamfast)
bond(Z, rosie)	bond(Z, R2)	bond(Z, anborn)
bond(Z, rosie)	bond(_EX1, rosie)	bond(Z, sting)
bond(Z, rosie)	bond(R1, rosie)	bond(R2, elrohir)
bond(Z, rosie)	bond(bree, R)	bond(Z, arwen)
carries(L, gwaihir)	carries(L, Z)	carries(R2, bolg)
carries(L, gwaihir)	carries(gimli, gwaihir)	carries(L, frodo)
carries(L, gwaihir)	carries(Y, gwaihir)	carries(_EX0, witch_king)
carries(L, gwaihir)	carries(X, X)	carries(_EX1, ponto)
carries(L, gwaihir)	carries(Y, gwaihir)	carries(R, pippin)
carries(L, gwaihir)	carries(esmeralda, R)	carries(L, bree)
carries(L, gwaihir)	carries(L, Y)	carries(L, bombadil)
carries(L, gwaihir)	carries(hirluin, gwaihir)	carries(L, fladrif)
carries(L, gwaihir)	carries(L, L)	carries(R1, celeborn)
carries(L, gwaihir)	carries(erkenbrand, gwaihir)	carries(L, gorbag)
carries(L, gwaihir)	carries(bolg, gwaihir)	carries(L, elanor)
carries(L, gwaihir)	carries(gollum, gwaihir)	carries(L, galadriel)
carries(L, gwaihir)	carries(eomer, R1)	carries(L, durin)
carries(L, gwaihir)	carries(L, I)	carries(_EX0, forlong)
carries(L, gwaihir)	carries(smaug, gwaihir)	carries(L, merry)
carries(L, gwaihir)	carries(iron_hills, gwaihir)	carries(_EX0, fosco)
carries(L, gwaihir)	carries(R, gwaihir)	carries(L, beorn)
carries(L, gwaihir)	carries(R2, gwaihir)	carries(L, brealight)
carries(L, gwaihir)	carries(X, X)	carries(L, lothlorien)
carries(L, gwaihir)	carries(L, Y)	carries(L, sauron)
carries(Y, bofur)	carries(Y, _EX0)	carries(Y, gondor)
carries(Y, bofur)	carries(_EX0, bofur)	carries(Y, glorfindel)
carries(Y, bofur)	carries(Y, X)	carries(Y, aragorn)
carries(Y, bofur)	carries(beregond, X)	carries(Y, thranduil)
carries(Y, bofur)	carries(Y, Y)	carries(Z, rose)
carries(Y, bofur)	carries(Y, I)	carries(I, goldberry)
carries(Y, bofur)	carries(Y, Z)	carries(R1, ghân)
carries(Y, bofur)	carries(X, bofur)	carries(Y, ring)
carries(Y, bofur)	carries(erkenbrand, bofur)	carries(Y, moria)
carries(Y, bofur)	carries(Y, Y)	carries(_EX1, arwen)
carries(Y, bofur)	carries(beorn, _EX0)	carries(_EX0, haldir)
carries(Y, bofur)	carries(I, I)	carries(R, hama)
carries(Y, bofur)	carries(Y, R1)	carries(Y, dudo)
carries(Y, bofur)	carries(Y, R2)	carries(Z, ghân)
carries(Y, bofur)	carries(Z, bofur)	carries(X, ori)
carries(Y, bofur)	carries(Y, Y)	carries(Y, derufin)
carries(Y, bofur)	carries(X, R1)	carries(Y, rosie)
carries(Y, bofur)	carries(elladan, bofur)	carries(Y, gil_galad)
carries(Y, bofur)	carries(Y, R2)	carries(Y, primula)
carries(Y, bofur)	carries(I, bofur)	carries(Y, primula)
companion(I, X)	companion(I, ori)	peril(_EX0)
companion(I, X)	companion(I, R)	threat(hama, Z)
companion(I, X)	companion(frodo, R2)	carries(arwen, Y)
companion(I, X)	companion(I, R2)	hero(R2)
companion(I, X)	companion(X, Z)	vulnerable(R2, legolas)
